Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,8,NaN,NaN,NaN,84.35,28,7.6,6436
Feb-16,8.1,0.024,0.283,0.056,97.8,27,8.3,8503
Mar-16,7.8,0.01,0.004,0.007,68.61,25,8.5,40833
Apr-16,8.7,0.068,0.096,0.031,57.33,30,8.5,21522
May-16,9.4,0.056,0.004,0.004,182.44,30.5,10,15744
Jun-16,9.4,0.031,0.798,0.12,97.02,31,9.1,131827
Jul-16,9.6,0.001,0.038,0.001,66.98,31,9.4,23355
Aug-16,8.9,0.256,0.041,0.001,95.47,29,6.7,65199
Sep-16,9.4,0.013,0.031,0.007,115.87,27,9.4,4110
Oct-16,9,0.1,0.036,0.021,181.39,27,9.3,17314
Nov-16,NaN,0.049,0.314,0.222,57.34,26.5,6.6,7752
Dec-16,8.4,0.001,0.248,0.113,81.05,27,7.6,7510
Jan-17,7.8,0.001,0.393,0.066,64.2,25.2,7.7,5276
Feb-17,7.9,0.033,0.54,0.16,38.74,25,7.8,5289
Mar-17,8.3,0.25,0.001,0.023,80.36,28,9.4,29172
Apr-17,7.8,0.073,0.016,0.29,57.6,27,7.4,24382
May-17,8.3,0.019,0.001,0.071,9.35,36,8.4,7284
Jun-17,9,0.016,0.042,0.155,61.16,33,8.6,18938
Jul-17,8.5,0.059,0.022,0.15,97.13,31,9.3,101575
Aug-17,8.6,0.021,0.02,0.035,73.93,31,9.9,1664
Sep-17,8.4,0.005,0.003,0.041,94.87,32,9.7,33349
Oct-17,8,0.03,0.001,0.036,73.15,29.5,8.5,17415
Nov-17,8.1,0.021,0.06,0.02,41,28,8.8,15089
Dec-17,8.1,0.008,0.006,0.026,58.73,28.5,8.8,16756
Jan-18,8.1,0.012,0.375,0.133,80.36,27,8.4,2354
Feb-18,8.1,0.001,0.326,0.105,71.58,25,8.4,6083
Mar-18,8.2,0.021,0.05,0.142,62.29,28,8.6,6550
Apr-18,8.4,0.018,0.05,0.113,34.84,27,8.3,7631
May-18,8.3,0.024,0.05,0.09,12.42,30.1,7.9,18784
Jun-18,9.7,0.005,0.05,0.063,193.21,34,16.1,25143
Jul-18,9.5,0.001,0.05,0.047,134.4,29.7,9.5,15914
Aug-18,9.2,0.014,0.111,0.041,10.63,32.5,8.8,28738
Sep-18,8.8,0.014,0.05,0.025,44.13,29,9.1,21131
Oct-18,8.6,0.013,0.05,0.015,42.57,31.8,8.3,6569
Nov-18,8.3,0.003,0.05,0.023,143.08,28.5,7.6,41431
Dec-18,8.8,0.023,0.043,0.044,39.27,26.9,8.6,19495
Jan-19,7.6,0.07,NaN,0.1,43.44,20,7.8,3310
Feb-19,8.2,0.02,0.14,0.05,14.76,26,7.9,10093
Mar-19,8.6,0.02,0.05,0.02,7.29,22,8.4,5224
Apr-19,8.5,0.014,0.05,0.062,56.46,29.5,7.8,2094
May-19,9.2,0.094,0.05,0.098,127.62,30,7.3,8472
Jun-19,9.2,0.048,0.05,0.169,85.65,32,12.1,56772
Jul-19,9.6,0.038,0.067,0.048,135.09,29,10.7,11397
Aug-19,8.1,0.039,0.05,0.027,26.93,27.8,8.1,7754
Sep-19,8.6,0.037,0.05,0.019,13.21,28.5,7.7,1626
Oct-19,8.6,0.005,0.05,0.029,3.04,32.5,7.5,333
Nov-19,8.9,0.029,0.05,0.017,12.25,30,9.2,7819
Dec-19,7.8,0.1,0.401,0.044,16.51,25,7.5,4997
Jan-20,7.7,0.04,0.497,0.074,49.95,26.4,7.4,2010
Feb-20,7.9,0.026,0.434,0.034,62.29,26,7.8,2328
Mar-20,8.6,0.042,0.05,0.017,82.71,26,8.2,756
Apr-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep-20,8.2,0.016,0.05,0.018,40.83,30,6.9,47539
Oct-20,8.2,0.005,0.05,0.04,63.25,28.5,7.5,49156
Nov-20,7.7,0.005,NaN,0.061,27.54,27.5,7.9,8816
Dec-20,8.1,0.013,NaN,0.063,38.92,27.5,7.3,10640
Jan-21,8,0.024,NaN,0.061,76.8,24,8.5,53914
Feb-21,8.2,0.031,NaN,0.057,144.21,25,8.4,16326
Mar-21,8.6,0.005,NaN,0.01,57.86,25,8.2,36153
Apr-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-21,8,NaN,0.05,0.021,139.87,30,7.8,36939
Jun-21,8.9,NaN,0.05,0.043,196.42,27,7.7,665662
Jul-21,9.6,0.026,0.05,0.075,192.25,30,8.1,27152
Aug-21,7.4,0.03,0.24,0.04,131.53,29,8,11687
Sep-21,9.2,0.07,0.14,0.01,110.07,27,7.9,31971
Oct-21,7.7,0.02,0.05,0.02,95.04,28,7,26310
Nov-21,8,0.005,0.05,0.08,115.63,26,7.7,55505
Dec-21,8.2,0.01,0.13,0.12,84.1,27,7.7,13147
Jan-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb-22,8.2,0.168,0.379,0.1,143.52,24,7.4,586410
Mar-22,8.1,0.005,0.005,0.05,77.84,26.5,7.6,26123
Apr-22,8.2,0.01,0.01,0.09,67.59,28,8.1,18259
May-22,8.5,0.01,0.01,NaN,111.46,29,8.2,58805
Jun-22,9.2,0.02,0.01,NaN,107.81,30,8.7,24665
Jul-22,9.2,0.02,0.005,0.02,154.29,30,10.6,30366
Aug-22,8.9,0.03,0.1,0.02,222.23,29,8.6,59437
Sep-22,8.3,0.06,0.05,0.12,154.64,30,9.4,44646
Oct-22,7.4,0.005,0.05,0.03,140.13,28,7.9,42431
Nov-22,7,0.01,0.38,0.08,40.31,30,7.2,2527
Dec-22,7.4,0.23,0.14,0.06,77.67,30,7.8,2271
Jan-23,7.2,0.015,0.05,0.052,7.04,26,8,3199
Feb-23,7.6,0.03,0.05,0.11,47.09,23,7.8,14498
Mar-23,7.9,0.005,0.05,0.19,44.31,25,7.7,17223
Apr-23,8.3,0.005,0.05,0.1,127.19,29,8.4,32290
May-23,8.2,0.005,0.05,0.11,105.55,31,7.8,19062
Jun-23,8.3,0.005,0.05,0.09,74.23,31,8.2,2862
Jul-23,8.3,0,0,0.06,23.54,32,7.4,21065
Aug-23,8.1,0.02,0.28,0.11,83.92,28,7.5,8330
Sep-23,8.4,0,0.1,0.13,28.23,32,7.4,20197
Oct-23,8.4,0,0.1,0.2,65.5,30,7,38436
Nov-23,8.1,0,0,0.16,51.78,29,7,50928
Dec-23,7.7,NaN,0,0.06,46.48,28,8,13030
Jan-24,7.8,NaN,0,0.077,NaN,NaN,8,NaN
Feb-24,8.6,0.04,0,0.07,NaN,NaN,8,NaN
Mar-24,8.5,0.03,0,0.062,NaN,NaN,8,NaN
Apr-24,8.5,0.04,0,0.04,NaN,NaN,8,NaN
May-24,9.1,0.03,0,0.054,NaN,NaN,7.2,NaN
Jun-24,7.8,0.06,0.6,0.055,NaN,NaN,7,NaN
Jul-24,8.6,0.03,0,0.021,NaN,NaN,8,NaN
Aug-24,8.1,0.04,0.2,0.74,NaN,NaN,7,NaN
Sep-24,8.4,0.008,0.2,0.04,NaN,NaN,9,NaN
Oct-24,7.7,0.1,0,0.044,NaN,NaN,8,NaN
Nov-24,8.4,0.07,0.5,0.05,NaN,NaN,7,NaN
Dec-24,8.1,0.09,0.5,0.073,NaN,NaN,7,NaN
